start_node,end_node,relationship
31,29,USES
32,29,USES
33,29,USES
34,29,USES
35,29,USES
36,29,USES
37,29,USES
38,29,USES
39,29,USES
40,29,USES
41,29,USES
42,29,USES
43,29,USES
44,29,USES
45,29,USES
46,29,USES
47,29,BELONGS_TO
48,29,BELONGS_TO
49,29,BELONGS_TO
50,29,BELONGS_TO
51,29,BELONGS_TO
31,1,FIRST_INTRODUCED
32,1,FIRST_INTRODUCED
33,4,FIRST_INTRODUCED
34,4,FIRST_INTRODUCED
35,4,FIRST_INTRODUCED
36,6,FIRST_INTRODUCED
37,7,FIRST_INTRODUCED
38,8,FIRST_INTRODUCED
39,9,FIRST_INTRODUCED
40,10,FIRST_INTRODUCED
41,12,FIRST_INTRODUCED
42,13,FIRST_INTRODUCED
43,14,FIRST_INTRODUCED
44,15,FIRST_INTRODUCED
45,16,FIRST_INTRODUCED
46,17,FIRST_INTRODUCED
47,18,FIRST_INTRODUCED
48,19,FIRST_INTRODUCED
49,20,FIRST_INTRODUCED
50,21,FIRST_INTRODUCED
51,22,FIRST_INTRODUCED
