start_node,end_node,relationship
5,2,USES
5,3,USES
5,1,USES
6,2,USES
6,3,USES
6,4,USES
6,9,EVALUATES
7,2,USES
7,3,USES
7,4,USES
7,9,EVALUATES
8,2,USES
8,1,USES
8,9,EVALUATES
9,1,BELONGS_TO
10,1,BELONGS_TO
11,1,BELONGS_TO
12,1,BELONGS_TO
13,1,BELONGS_TO
14,2,USES
14,3,USES
14,4,USES
15,2,USES
16,2,USES
16,1,EVALUATES
17,2,USES
17,16,USES
18,2,USES
18,9,EVALUATES
19,2,USES
19,9,EVALUATES
20,2,USES
20,9,EVALUATES
21,2,USES
21,9,EVALUATES
22,2,USES
22,9,EVALUATES
23,2,USES
23,9,EVALUATES
24,2,USES
24,9,EVALUATES
25,2,USES
25,9,EVALUATES
26,2,USES
26,9,EVALUATES
27,2,USES
27,9,EVALUATES
28,2,USES
28,9,EVALUATES
29,2,USES
29,9,EVALUATES
30,2,USES
30,9,EVALUATES
31,2,USES
31,4,USES
31,3,USES
31,14,USES
31,48,EVALUATES
32,2,USES
32,4,USES
32,3,USES
32,14,USES
32,48,EVALUATES
33,2,USES
33,4,USES
33,1,USES
33,9,BELONGS_TO
33,48,EVALUATES
34,2,USES
34,4,USES
34,1,USES
34,9,BELONGS_TO
34,48,EVALUATES
35,2,USES
35,14,USES
35,1,USES
35,48,EVALUATES
36,2,USES
36,14,USES
36,4,USES
36,9,BELONGS_TO
36,48,EVALUATES
37,2,USES
37,4,USES
37,14,USES
37,9,BELONGS_TO
37,48,EVALUATES
38,2,USES
38,14,USES
38,4,USES
38,9,BELONGS_TO
38,48,EVALUATES
39,2,USES
39,9,EVALUATES
40,2,USES
40,9,EVALUATES
41,2,USES
41,4,USES
41,9,BELONGS_TO
42,2,USES
42,4,USES
42,9,BELONGS_TO
43,2,USES
43,4,USES
43,9,BELONGS_TO
44,2,USES
44,3,USES
44,4,USES
45,2,USES
45,3,USES
45,4,USES
46,2,USES
46,3,USES
46,4,USES
47,2,USES
47,9,EVALUATES
48,2,USES
48,9,EVALUATES
49,2,USES
49,9,EVALUATES
50,2,USES
50,9,EVALUATES
